Kod;NAZWA;Owner;User;ComputerIP;Version
1407;kozienicki;Admin;Admin;localhost;
1408;legionowski;Admin;Admin;localhost;
1409;lipski;Admin;Admin;localhost;
1410;łosicki;Admin;Admin;localhost;
1411;makowski;Admin;Admin;localhost;
1412;miński;Admin;Admin;localhost;
1413;mławski;Admin;Admin;localhost;
1414;nowodworski;Admin;Admin;localhost;
1415;ostrołęcki;Admin;Admin;localhost;
1416;ostrowski;Admin;Admin;localhost;
1417;otwocki;Admin;Admin;localhost;
1418;piaseczyński;Admin;Admin;localhost;
1419;płocki;Admin;Admin;localhost;
1420;płoński;Admin;Admin;localhost;
1421;pruszkowski;Admin;Admin;localhost;
1422;przasnyski;Admin;Admin;localhost;
1423;przysuski;Admin;Admin;localhost;
1424;pułtuski;Admin;Admin;localhost;
1425;radomski;Admin;Admin;localhost;
1426;siedlecki;Admin;Admin;localhost;
1427;sierpecki;Admin;Admin;localhost;
1428;sochaczewski;Admin;Admin;localhost;
1429;sokołowski;Admin;Admin;localhost;
1430;szydłowiecki;Admin;Admin;localhost;
1432;warszawski zachodni;Admin;Admin;localhost;
1433;węgrowski;Admin;Admin;localhost;
1434;wołomiński;Admin;Admin;localhost;
1435;wyszkowski;Admin;Admin;localhost;
1436;zwoleński;Admin;Admin;localhost;
1437;żuromiński;Admin;Admin;localhost;
1438;żyrardowski;Admin;Admin;localhost;
1461;Ostrołęka;Admin;Admin;localhost;
1462;Płock;Admin;Admin;localhost;
1463;Radom;Admin;Admin;localhost;
1464;Siedlce;Admin;Admin;localhost;
1465;Warszawa;Admin;Admin;localhost;
1601;brzeski;Admin;Admin;localhost;
1602;głubczycki;Admin;Admin;localhost;
1603;kędzierzyńsko-kozielski;Admin;Admin;localhost;
1604;kluczborski;Admin;Admin;localhost;
1605;krapkowicki;Admin;Admin;localhost;
1606;namysłowski;Admin;Admin;localhost;
1607;nyski;Admin;Admin;localhost;
1608;oleski;Admin;Admin;localhost;
1609;opolski;Admin;Admin;localhost;
1610;prudnicki;Admin;Admin;localhost;
1611;strzelecki;Admin;Admin;localhost;
1661;Opole;Admin;Admin;localhost;
1801;bieszczadzki;Admin;Admin;localhost;
1802;brzozowski;Admin;Admin;localhost;
1803;dębicki;Admin;Admin;localhost;
1804;jarosławski;Admin;Admin;localhost;
1805;jasielski;Admin;Admin;localhost;
1806;kolbuszowski;Admin;Admin;localhost;
1807;krośnieński;Admin;Admin;localhost;
1808;leżajski;Admin;Admin;localhost;
1809;lubaczowski;Admin;Admin;localhost;
1810;łańcucki;Admin;Admin;localhost;
1811;mielecki;Admin;Admin;localhost;
1812;niżański;Admin;Admin;localhost;
1813;przemyski;Admin;Admin;localhost;
1814;przeworski;Admin;Admin;localhost;
1815;ropczycko-sędziszowski;Admin;Admin;localhost;
1816;rzeszowski;Admin;Admin;localhost;
1817;sanocki;Admin;Admin;localhost;
1818;stalowowolski;Admin;Admin;localhost;
1819;strzyżowski;Admin;Admin;localhost;
1820;tarnobrzeski;Admin;Admin;localhost;
1821;leski;Admin;Admin;localhost;
1861;Krosno;Admin;Admin;localhost;
1862;Przemyśl;Admin;Admin;localhost;
1863;Rzeszów;Admin;Admin;localhost;
1864;Tarnobrzeg;Admin;Admin;localhost;
2001;augustowski;Admin;Admin;localhost;
2002;białostocki;Admin;Admin;localhost;
2003;bielski;Admin;Admin;localhost;
2004;grajewski;Admin;Admin;localhost;
2005;hajnowski;Admin;Admin;localhost;
2006;kolneński;Admin;Admin;localhost;
2007;łomżyński;Admin;Admin;localhost;
2008;moniecki;Admin;Admin;localhost;
2009;sejneński;Admin;Admin;localhost;
2010;siemiatycki;Admin;Admin;localhost;
2011;sokólski;Admin;Admin;localhost;
2012;suwalski;Admin;Admin;localhost;
2013;wysokomazowiecki;Admin;Admin;localhost;
2014;zambrowski;Admin;Admin;localhost;
2061;Białystok;Admin;Admin;localhost;
2062;Łomża;Admin;Admin;localhost;
2063;Suwałki;Admin;Admin;localhost;
2201;bytowski;Admin;Admin;localhost;
2202;chojnicki;Admin;Admin;localhost;
2203;człuchowski;Admin;Admin;localhost;
2204;gdański;Admin;Admin;localhost;
2205;kartuski;Admin;Admin;localhost;
2206;kościerski;Admin;Admin;localhost;
2207;kwidzyński;Admin;Admin;localhost;
2208;lęborski;Admin;Admin;localhost;
2209;malborski;Admin;Admin;localhost;
2210;nowodworski;Admin;Admin;localhost;
2211;pucki;Admin;Admin;localhost;
2212;słupski;Admin;Admin;localhost;
2213;starogardzki;Admin;Admin;localhost;
2214;tczewski;Admin;Admin;localhost;
2215;wejherowski;Admin;Admin;localhost;
2216;sztumski;Admin;Admin;localhost;
2261;Gdańsk;Admin;Admin;localhost;
2262;Gdynia;Admin;Admin;localhost;
2263;Słupsk;Admin;Admin;localhost;
2264;Sopot;Admin;Admin;localhost;
2401;będziński;Admin;Admin;localhost;
2402;bielski;Admin;Admin;localhost;
2403;cieszyński;Admin;Admin;localhost;
2404;częstochowski;Admin;Admin;localhost;
2405;gliwicki;Admin;Admin;localhost;
2406;kłobucki;Admin;Admin;localhost;
2407;lubliniecki;Admin;Admin;localhost;
2408;mikołowski;Admin;Admin;localhost;
2409;myszkowski;Admin;Admin;localhost;
2410;pszczyński;Admin;Admin;localhost;
2411;raciborski;Admin;Admin;localhost;
2412;rybnicki;Admin;Admin;localhost;
2413;tarnogórski;Admin;Admin;localhost;
2414;bieruńsko-lędziński;Admin;Admin;localhost;
2415;wodzisławski;Admin;Admin;localhost;
2416;zawierciański;Admin;Admin;localhost;
2417;żywiecki;Admin;Admin;localhost;
2461;Bielsko-Biała;Admin;Admin;localhost;
2462;Bytom;Admin;Admin;localhost;
2463;Chorzów;Admin;Admin;localhost;
2464;Częstochowa;Admin;Admin;localhost;
2465;Dąbrowa Górnicza;Admin;Admin;localhost;
2466;Gliwice;Admin;Admin;localhost;
2467;Jastrzębie-Zdrój;Admin;Admin;localhost;
2468;Jaworzno;Admin;Admin;localhost;
2469;Katowice;Admin;Admin;localhost;
2470;Mysłowice;Admin;Admin;localhost;
2471;Piekary Śląskie;Admin;Admin;localhost;
2472;Ruda Śląska;Admin;Admin;localhost;
2473;Rybnik;Admin;Admin;localhost;
2474;Siemianowice Śląskie;Admin;Admin;localhost;
2475;Sosnowiec;Admin;Admin;localhost;
2476;Świętochłowice;Admin;Admin;localhost;
