Kod;NAZWA;Owner;User;ComputerIP;Version
0221063;Mieroszów;Admin;Admin;localhost;
0221072;Stare Bogaczowice;Admin;Admin;localhost;
0221082;Walim;Admin;Admin;localhost;
0222013;Brzeg Dolny;Admin;Admin;localhost;
0222022;Wińsko;Admin;Admin;localhost;
0222033;Wołów;Admin;Admin;localhost;
0223012;Czernica;Admin;Admin;localhost;
0223022;Długołęka;Admin;Admin;localhost;
0223032;Jordanów Śląski;Admin;Admin;localhost;
0223043;Kąty Wrocławskie;Admin;Admin;localhost;
0223052;Kobierzyce;Admin;Admin;localhost;
0223062;Mietków;Admin;Admin;localhost;
0223073;Sobótka;Admin;Admin;localhost;
0223083;Siechnice;Admin;Admin;localhost;
0223092;Żórawina;Admin;Admin;localhost;
0224013;Bardo;Admin;Admin;localhost;
0224022;Ciepłowody;Admin;Admin;localhost;
0224032;Kamieniec Ząbkowicki;Admin;Admin;localhost;
0224042;Stoszowice;Admin;Admin;localhost;
0224053;Ząbkowice Śląskie;Admin;Admin;localhost;
0224063;Ziębice;Admin;Admin;localhost;
0224073;Złoty Stok;Admin;Admin;localhost;
0225011;Zawidów;Admin;Admin;localhost;
0225021;Zgorzelec;Admin;Admin;localhost;
0225033;Bogatynia;Admin;Admin;localhost;
0225043;Pieńsk;Admin;Admin;localhost;
0225052;Sulików;Admin;Admin;localhost;
0225063;Węgliniec;Admin;Admin;localhost;
0225072;Zgorzelec;Admin;Admin;localhost;
0226011;Wojcieszów;Admin;Admin;localhost;
0226021;Złotoryja;Admin;Admin;localhost;
0226032;Pielgrzymka;Admin;Admin;localhost;
0226043;Świerzawa;Admin;Admin;localhost;
0226052;Zagrodno;Admin;Admin;localhost;
0226062;Złotoryja;Admin;Admin;localhost;
0261011;Jelenia Góra;Admin;Admin;localhost;
0262011;Legnica;Admin;Admin;localhost;
0264011;Wrocław;Admin;Admin;localhost;
0264029;Wrocław-Fabryczna;Admin;Admin;localhost;
0264039;Wrocław-Krzyki;Admin;Admin;localhost;
0264049;Wrocław-Psie Pole;Admin;Admin;localhost;
0264059;Wrocław-Stare Miasto;Admin;Admin;localhost;
0264069;Wrocław-Śródmieście;Admin;Admin;localhost;
0265011;Wałbrzych;Admin;Admin;localhost;
0401011;Aleksandrów Kujawski;Admin;Admin;localhost;
0401021;Ciechocinek;Admin;Admin;localhost;
0401031;Nieszawa;Admin;Admin;localhost;
0401042;Aleksandrów Kujawski;Admin;Admin;localhost;
0401052;Bądkowo;Admin;Admin;localhost;
0401062;Koneck;Admin;Admin;localhost;
0401072;Raciążek;Admin;Admin;localhost;
0401082;Waganiec;Admin;Admin;localhost;
0401092;Zakrzewo;Admin;Admin;localhost;
0402011;Brodnica;Admin;Admin;localhost;
0402022;Bobrowo;Admin;Admin;localhost;
0402032;Brodnica;Admin;Admin;localhost;
0402042;Brzozie;Admin;Admin;localhost;
0402053;Górzno;Admin;Admin;localhost;
0402062;Bartniczka;Admin;Admin;localhost;
0402073;Jabłonowo Pomorskie;Admin;Admin;localhost;
0402082;Osiek;Admin;Admin;localhost;
0402092;Świedziebnia;Admin;Admin;localhost;
0402102;Zbiczno;Admin;Admin;localhost;
0403012;Białe Błota;Admin;Admin;localhost;
0403022;Dąbrowa Chełmińska;Admin;Admin;localhost;
0403032;Dobrcz;Admin;Admin;localhost;
0403043;Koronowo;Admin;Admin;localhost;
0403052;Nowa Wieś Wielka;Admin;Admin;localhost;
0403062;Osielsko;Admin;Admin;localhost;
0403072;Sicienko;Admin;Admin;localhost;
0403083;Solec Kujawski;Admin;Admin;localhost;
0404011;Chełmno;Admin;Admin;localhost;
0404022;Chełmno;Admin;Admin;localhost;
0404032;Kijewo Królewskie;Admin;Admin;localhost;
0404042;Lisewo;Admin;Admin;localhost;
0404052;Papowo Biskupie;Admin;Admin;localhost;
0404062;Stolno;Admin;Admin;localhost;
0404072;Unisław;Admin;Admin;localhost;
0405011;Golub-Dobrzyń;Admin;Admin;localhost;
0405022;Ciechocin;Admin;Admin;localhost;
0405032;Golub-Dobrzyń;Admin;Admin;localhost;
0405043;Kowalewo Pomorskie;Admin;Admin;localhost;
0405052;Radomin;Admin;Admin;localhost;
0405062;Zbójno;Admin;Admin;localhost;
0406012;Grudziądz;Admin;Admin;localhost;
0406022;Gruta;Admin;Admin;localhost;
0406033;Łasin;Admin;Admin;localhost;
0406043;Radzyń Chełmiński;Admin;Admin;localhost;
0406052;Rogóźno;Admin;Admin;localhost;
0406062;Świecie nad Osą;Admin;Admin;localhost;
0407011;Inowrocław;Admin;Admin;localhost;
0407022;Dąbrowa Biskupia;Admin;Admin;localhost;
0407033;Gniewkowo;Admin;Admin;localhost;
0407042;Inowrocław;Admin;Admin;localhost;
0407053;Janikowo;Admin;Admin;localhost;
0407063;Kruszwica;Admin;Admin;localhost;
0407073;Pakość;Admin;Admin;localhost;
0407082;Rojewo;Admin;Admin;localhost;
0407092;Złotniki Kujawskie;Admin;Admin;localhost;
0408011;Lipno;Admin;Admin;localhost;
0408022;Bobrowniki;Admin;Admin;localhost;
0408032;Chrostkowo;Admin;Admin;localhost;
0408043;Dobrzyń nad Wisłą;Admin;Admin;localhost;
0408052;Kikół;Admin;Admin;localhost;
0408062;Lipno;Admin;Admin;localhost;
0408073;Skępe;Admin;Admin;localhost;
0408082;Tłuchowo;Admin;Admin;localhost;
0408092;Wielgie;Admin;Admin;localhost;
0409012;Dąbrowa;Admin;Admin;localhost;
0409022;Jeziora Wielkie;Admin;Admin;localhost;
0409033;Mogilno;Admin;Admin;localhost;
0409043;Strzelno;Admin;Admin;localhost;
0410013;Kcynia;Admin;Admin;localhost;
0410023;Mrocza;Admin;Admin;localhost;
0410033;Nakło nad Notecią;Admin;Admin;localhost;
0410042;Sadki;Admin;Admin;localhost;
0410053;Szubin;Admin;Admin;localhost;
0411011;Radziejów;Admin;Admin;localhost;
0411022;Bytoń;Admin;Admin;localhost;
0411032;Dobre;Admin;Admin;localhost;
0411042;Osięciny;Admin;Admin;localhost;
0411053;Piotrków Kujawski;Admin;Admin;localhost;
0411062;Radziejów;Admin;Admin;localhost;
0411072;Topólka;Admin;Admin;localhost;
0412011;Rypin;Admin;Admin;localhost;
0412022;Brzuze;Admin;Admin;localhost;
0412032;Rogowo;Admin;Admin;localhost;
0412042;Rypin;Admin;Admin;localhost;
0412052;Skrwilno;Admin;Admin;localhost;
0412062;Wąpielsk;Admin;Admin;localhost;
0413013;Kamień Krajeński;Admin;Admin;localhost;
0413023;Sępólno Krajeńskie;Admin;Admin;localhost;
0413032;Sośno;Admin;Admin;localhost;
0413043;Więcbork;Admin;Admin;localhost;
0414012;Bukowiec;Admin;Admin;localhost;
0414022;Dragacz;Admin;Admin;localhost;
0414032;Drzycim;Admin;Admin;localhost;
0414042;Jeżewo;Admin;Admin;localhost;
0414052;Lniano;Admin;Admin;localhost;
0414063;Nowe;Admin;Admin;localhost;
0414072;Osie;Admin;Admin;localhost;
0414082;Pruszcz;Admin;Admin;localhost;
0414093;Świecie;Admin;Admin;localhost;
0414102;Świekatowo;Admin;Admin;localhost;
0414112;Warlubie;Admin;Admin;localhost;
0415011;Chełmża;Admin;Admin;localhost;
0415022;Chełmża;Admin;Admin;localhost;
0415032;Czernikowo;Admin;Admin;localhost;
0415042;Lubicz;Admin;Admin;localhost;
0415052;Łubianka;Admin;Admin;localhost;
0415062;Łysomice;Admin;Admin;localhost;
0415072;Obrowo;Admin;Admin;localhost;
0415082;Wielka Nieszawka;Admin;Admin;localhost;
0415092;Zławieś Wielka;Admin;Admin;localhost;
0416012;Cekcyn;Admin;Admin;localhost;
0416022;Gostycyn;Admin;Admin;localhost;
0416032;Kęsowo;Admin;Admin;localhost;
0416042;Lubiewo;Admin;Admin;localhost;
0416052;Śliwice;Admin;Admin;localhost;
0416063;Tuchola;Admin;Admin;localhost;
0417011;Wąbrzeźno;Admin;Admin;localhost;
0417022;Dębowa Łąka;Admin;Admin;localhost;
0417032;Książki;Admin;Admin;localhost;
0417042;Płużnica;Admin;Admin;localhost;
0417052;Ryńsk;Admin;Admin;localhost;
0418011;Kowal;Admin;Admin;localhost;
0418022;Baruchowo;Admin;Admin;localhost;
0418032;Boniewo;Admin;Admin;localhost;
0418043;Brześć Kujawski;Admin;Admin;localhost;
0418052;Choceń;Admin;Admin;localhost;
0418063;Chodecz;Admin;Admin;localhost;
0418072;Fabianki;Admin;Admin;localhost;
0418083;Izbica Kujawska;Admin;Admin;localhost;
0418092;Kowal;Admin;Admin;localhost;
0418102;Lubanie;Admin;Admin;localhost;
0418113;Lubień Kujawski;Admin;Admin;localhost;
0418123;Lubraniec;Admin;Admin;localhost;
0418132;Włocławek;Admin;Admin;localhost;
0419013;Barcin;Admin;Admin;localhost;
0419022;Gąsawa;Admin;Admin;localhost;
0419033;Janowiec Wielkopolski;Admin;Admin;localhost;
0419043;Łabiszyn;Admin;Admin;localhost;
0419052;Rogowo;Admin;Admin;localhost;
0419063;Żnin;Admin;Admin;localhost;
0461011;Bydgoszcz;Admin;Admin;localhost;
0462011;Grudziądz;Admin;Admin;localhost;
0463011;Toruń;Admin;Admin;localhost;
0464011;Włocławek;Admin;Admin;localhost;
0601011;Międzyrzec Podlaski;Admin;Admin;localhost;
0601021;Terespol;Admin;Admin;localhost;
0601032;Biała Podlaska;Admin;Admin;localhost;
0601042;Drelów;Admin;Admin;localhost;
0601052;Janów Podlaski;Admin;Admin;localhost;
0601062;Kodeń;Admin;Admin;localhost;
0601072;Konstantynów;Admin;Admin;localhost;
0601082;Leśna Podlaska;Admin;Admin;localhost;
0601092;Łomazy;Admin;Admin;localhost;
0601102;Międzyrzec Podlaski;Admin;Admin;localhost;
0601112;Piszczac;Admin;Admin;localhost;
0601122;Rokitno;Admin;Admin;localhost;
0601132;Rossosz;Admin;Admin;localhost;
0601142;Sławatycze;Admin;Admin;localhost;
0601152;Sosnówka;Admin;Admin;localhost;
0601162;Terespol;Admin;Admin;localhost;
0601172;Tuczna;Admin;Admin;localhost;
0601182;Wisznice;Admin;Admin;localhost;
0601192;Zalesie;Admin;Admin;localhost;
0602011;Biłgoraj;Admin;Admin;localhost;
0602022;Aleksandrów;Admin;Admin;localhost;
0602032;Biłgoraj;Admin;Admin;localhost;
0602042;Biszcza;Admin;Admin;localhost;
0602053;Frampol;Admin;Admin;localhost;
0602062;Goraj;Admin;Admin;localhost;
0602073;Józefów;Admin;Admin;localhost;
0602082;Księżpol;Admin;Admin;localhost;
0602092;Łukowa;Admin;Admin;localhost;
0602102;Obsza;Admin;Admin;localhost;
0602112;Potok Górny;Admin;Admin;localhost;
0602123;Tarnogród;Admin;Admin;localhost;
0602132;Tereszpol;Admin;Admin;localhost;
0602142;Turobin;Admin;Admin;localhost;
0603011;Rejowiec Fabryczny;Admin;Admin;localhost;
0603022;Białopole;Admin;Admin;localhost;
0603032;Chełm;Admin;Admin;localhost;
0603042;Dorohusk;Admin;Admin;localhost;
0603052;Dubienka;Admin;Admin;localhost;
0603062;Kamień;Admin;Admin;localhost;
0603072;Leśniowice;Admin;Admin;localhost;
0603082;Rejowiec Fabryczny;Admin;Admin;localhost;
0603092;Ruda-Huta;Admin;Admin;localhost;
0603102;Sawin;Admin;Admin;localhost;
0603113;Siedliszcze;Admin;Admin;localhost;
0603122;Wierzbica;Admin;Admin;localhost;
0603132;Wojsławice;Admin;Admin;localhost;
0603142;Żmudź;Admin;Admin;localhost;
0603153;Rejowiec;Admin;Admin;localhost;
0604011;Hrubieszów;Admin;Admin;localhost;
0604022;Dołhobyczów;Admin;Admin;localhost;
0604032;Horodło;Admin;Admin;localhost;
0604042;Hrubieszów;Admin;Admin;localhost;
0604052;Mircze;Admin;Admin;localhost;
0604062;Trzeszczany;Admin;Admin;localhost;
0604072;Uchanie;Admin;Admin;localhost;
0604082;Werbkowice;Admin;Admin;localhost;
0605012;Batorz;Admin;Admin;localhost;
0605022;Chrzanów;Admin;Admin;localhost;
0605032;Dzwola;Admin;Admin;localhost;
0605042;Godziszów;Admin;Admin;localhost;
0605053;Janów Lubelski;Admin;Admin;localhost;
0605063;Modliborzyce;Admin;Admin;localhost;
0605072;Potok Wielki;Admin;Admin;localhost;
0606011;Krasnystaw;Admin;Admin;localhost;
0606022;Fajsławice;Admin;Admin;localhost;
0606032;Gorzków;Admin;Admin;localhost;
0606042;Izbica;Admin;Admin;localhost;
0606052;Krasnystaw;Admin;Admin;localhost;
0606062;Kraśniczyn;Admin;Admin;localhost;
0606072;Łopiennik Górny;Admin;Admin;localhost;
0606092;Rudnik;Admin;Admin;localhost;
0606102;Siennica Różana;Admin;Admin;localhost;
0606112;Żółkiewka;Admin;Admin;localhost;
0607011;Kraśnik;Admin;Admin;localhost;
0607023;Annopol;Admin;Admin;localhost;
0607032;Dzierzkowice;Admin;Admin;localhost;
0607042;Gościeradów;Admin;Admin;localhost;
0607052;Kraśnik;Admin;Admin;localhost;
0607062;Szastarka;Admin;Admin;localhost;
0607072;Trzydnik Duży;Admin;Admin;localhost;
0607083;Urzędów;Admin;Admin;localhost;
0607092;Wilkołaz;Admin;Admin;localhost;
0607102;Zakrzówek;Admin;Admin;localhost;
0608011;Lubartów;Admin;Admin;localhost;
0608022;Abramów;Admin;Admin;localhost;
0608032;Firlej;Admin;Admin;localhost;
0608042;Jeziorzany;Admin;Admin;localhost;
0608052;Kamionka;Admin;Admin;localhost;
0608063;Kock;Admin;Admin;localhost;
0608072;Lubartów;Admin;Admin;localhost;
0608082;Michów;Admin;Admin;localhost;
0608092;Niedźwiada;Admin;Admin;localhost;
0608103;Ostrów Lubelski;Admin;Admin;localhost;
0608112;Ostrówek;Admin;Admin;localhost;
0608122;Serniki;Admin;Admin;localhost;
0608132;Uścimów;Admin;Admin;localhost;
0609013;Bełżyce;Admin;Admin;localhost;
0609022;Borzechów;Admin;Admin;localhost;
0609033;Bychawa;Admin;Admin;localhost;
0609042;Garbów;Admin;Admin;localhost;
0609052;Głusk;Admin;Admin;localhost;
0609062;Jabłonna;Admin;Admin;localhost;
0609072;Jastków;Admin;Admin;localhost;
0609082;Konopnica;Admin;Admin;localhost;
0609092;Krzczonów;Admin;Admin;localhost;
0609102;Niedrzwica Duża;Admin;Admin;localhost;
0609112;Niemce;Admin;Admin;localhost;
0609122;Strzyżewice;Admin;Admin;localhost;
0609132;Wojciechów;Admin;Admin;localhost;
0609142;Wólka;Admin;Admin;localhost;
0609152;Wysokie;Admin;Admin;localhost;
0609162;Zakrzew;Admin;Admin;localhost;
0610012;Cyców;Admin;Admin;localhost;
0610022;Ludwin;Admin;Admin;localhost;
0610033;Łęczna;Admin;Admin;localhost;
0610042;Milejów;Admin;Admin;localhost;
0610052;Puchaczów;Admin;Admin;localhost;
0610062;Spiczyn;Admin;Admin;localhost;
0611011;Łuków;Admin;Admin;localhost;
0611021;Stoczek Łukowski;Admin;Admin;localhost;
0611032;Adamów;Admin;Admin;localhost;
0611042;Krzywda;Admin;Admin;localhost;
0611052;Łuków;Admin;Admin;localhost;
0611062;Serokomla;Admin;Admin;localhost;
0611072;Stanin;Admin;Admin;localhost;
0611082;Stoczek Łukowski;Admin;Admin;localhost;
0611092;Trzebieszów;Admin;Admin;localhost;
0611102;Wojcieszków;Admin;Admin;localhost;
0611112;Wola Mysłowska;Admin;Admin;localhost;
